"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test verifies that getting a match by a valid ID returns a 200 OK status code","372","Verify that getting a match by valid ID returns 200 OK","Surefire suite","Wed Apr 09 21:38:42 GMT 2025","passed","Wed Apr 09 21:38:43 GMT 2025","com.dota2.api.matches.GetMatchByIdTest","Surefire test","com.dota2.api.matches.GetMatchByIdTest","testGetMatchByValidIdReturns200"
"This test verifies that getting a team by a valid ID returns a 200 OK status code","268","Verify that getting a team by valid ID returns 200 OK","Surefire suite","Wed Apr 09 21:38:39 GMT 2025","passed","Wed Apr 09 21:38:39 GMT 2025","com.dota2.api.teams.GetTeamByIdTest","Surefire test","com.dota2.api.teams.GetTeamByIdTest","testGetTeamByValidIdReturns200"
"This test verifies that getting a team by ID returns the correct team data","2716","Verify that getting a team by valid ID returns the correct team data","Surefire suite","Wed Apr 09 21:38:36 GMT 2025","passed","Wed Apr 09 21:38:38 GMT 2025","com.dota2.api.teams.GetTeamByIdTest","Surefire test","com.dota2.api.teams.GetTeamByIdTest","testGetTeamByIdReturnsCorrectData"
"This test verifies that each match in the response contains required fields","287","Verify that the matches data contains required fields","Surefire suite","Wed Apr 09 21:38:43 GMT 2025","passed","Wed Apr 09 21:38:43 GMT 2025","com.dota2.api.matches.GetMatchesTest","Surefire test","com.dota2.api.matches.GetMatchesTest","testMatchesContainRequiredFields"
"This test verifies that the GET /heroes endpoint returns a 200 OK status code","249","Verify that the GET /heroes endpoint returns 200 OK","Surefire suite","Wed Apr 09 21:38:42 GMT 2025","passed","Wed Apr 09 21:38:42 GMT 2025","com.dota2.api.heroes.GetHeroesTest","Surefire test","com.dota2.api.heroes.GetHeroesTest","testGetAllHeroesReturns200"
"This test verifies that the matches can be filtered by game mode","365","Verify that the matches can be filtered by game mode","Surefire suite","Wed Apr 09 21:38:43 GMT 2025","passed","Wed Apr 09 21:38:43 GMT 2025","com.dota2.api.matches.GetMatchesTest","Surefire test","com.dota2.api.matches.GetMatchesTest","testMatchesFilteredByGameMode"
"This test verifies that the team data matches the expected schema","829","Verify that team schema is valid","Surefire suite","Wed Apr 09 21:38:38 GMT 2025","passed","Wed Apr 09 21:38:39 GMT 2025","com.dota2.api.teams.GetTeamByIdTest","Surefire test","com.dota2.api.teams.GetTeamByIdTest","testTeamSchemaIsValid"
"Este teste simula múltiplos usuários acessando os endpoints Teams e Players e avalia o desempenho","4","Executa o teste de performance para os endpoints Teams e Players usando K6","Surefire suite","Wed Apr 09 21:38:43 GMT 2025","passed","Wed Apr 09 21:38:43 GMT 2025","com.dota2.performance.K6PerformanceTest","Surefire test","com.dota2.performance.K6PerformanceTest","testTeamsAndPlayersPerformance"
"This test verifies client-side pagination with limit and offset parameters","289","Verify that we can process matches with pagination","Surefire suite","Wed Apr 09 21:38:43 GMT 2025","passed","Wed Apr 09 21:38:43 GMT 2025","com.dota2.api.matches.GetMatchesTest","Surefire test","com.dota2.api.matches.GetMatchesTest","testMatchesPagination"
"This test verifies that teams can be retrieved and client-side pagination works","2022","Verify that teams with pagination works","Surefire suite","Wed Apr 09 21:38:39 GMT 2025","passed","Wed Apr 09 21:38:41 GMT 2025","com.dota2.api.teams.GetTeamsTest","Surefire test","com.dota2.api.teams.GetTeamsTest","testTeamsPagination"
