"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test verifies that finding a hero by an invalid ID returns no results","279","Verify that finding a hero by invalid ID returns no results","Surefire suite","Tue Apr 15 00:20:56 GMT 2025","passed","Tue Apr 15 00:20:56 GMT 2025","com.dota2.api.heroes.GetHeroByIdTest","Surefire test","com.dota2.api.heroes.GetHeroByIdTest","testGetHeroByInvalidIdReturnsNoResults"
"This test verifies that teams can be sorted client-side","1372","Verify that teams can be sorted client-side","Surefire suite","Tue Apr 15 00:20:54 GMT 2025","passed","Tue Apr 15 00:20:55 GMT 2025","com.dota2.api.teams.GetTeamsTest","Surefire test","com.dota2.api.teams.GetTeamsTest","testTeamsSorting"
"This test verifies that each hero in the response contains required fields","448","Verify that the heroes data contains required fields","Surefire suite","Tue Apr 15 00:20:55 GMT 2025","passed","Tue Apr 15 00:20:56 GMT 2025","com.dota2.api.heroes.GetHeroesTest","Surefire test","com.dota2.api.heroes.GetHeroesTest","testHeroesContainRequiredFields"
"This test verifies that the hero data for a specific ID matches the expected schema","276","Verify that hero schema is valid for a specific hero","Surefire suite","Tue Apr 15 00:20:56 GMT 2025","passed","Tue Apr 15 00:20:56 GMT 2025","com.dota2.api.heroes.GetHeroByIdTest","Surefire test","com.dota2.api.heroes.GetHeroByIdTest","testHeroByIdSchemaIsValid"
"This test verifies that the matches can be filtered by game mode","356","Verify that the matches can be filtered by game mode","Surefire suite","Tue Apr 15 00:20:56 GMT 2025","passed","Tue Apr 15 00:20:57 GMT 2025","com.dota2.api.matches.GetMatchesTest","Surefire test","com.dota2.api.matches.GetMatchesTest","testMatchesFilteredByGameMode"
"This test verifies the behavior when requesting an invalid player ID","165","Verify that getting a player by invalid ID returns appropriate response","Surefire suite","Tue Apr 15 00:20:55 GMT 2025","passed","Tue Apr 15 00:20:55 GMT 2025","com.dota2.api.players.GetPlayerByIdTest","Surefire test","com.dota2.api.players.GetPlayerByIdTest","testGetPlayerByInvalidId"
"This test verifies that getting a team by ID returns the correct team data","2439","Verify that getting a team by valid ID returns the correct team data","Surefire suite","Tue Apr 15 00:20:49 GMT 2025","passed","Tue Apr 15 00:20:52 GMT 2025","com.dota2.api.teams.GetTeamByIdTest","Surefire test","com.dota2.api.teams.GetTeamByIdTest","testGetTeamByIdReturnsCorrectData"
"This test verifies that getting a player by a valid ID returns a 200 OK status code","201","Verify that getting a player by valid ID returns 200 OK","Surefire suite","Tue Apr 15 00:20:55 GMT 2025","passed","Tue Apr 15 00:20:55 GMT 2025","com.dota2.api.players.GetPlayerByIdTest","Surefire test","com.dota2.api.players.GetPlayerByIdTest","testGetPlayerByValidIdReturns200"
"This test verifies client-side pagination with limit and offset parameters","310","Verify that we can process matches with pagination","Surefire suite","Tue Apr 15 00:20:56 GMT 2025","passed","Tue Apr 15 00:20:57 GMT 2025","com.dota2.api.matches.GetMatchesTest","Surefire test","com.dota2.api.matches.GetMatchesTest","testMatchesPagination"
"This test verifies that finding a hero by a valid ID works correctly","228","Verify that finding a hero by valid ID works","Surefire suite","Tue Apr 15 00:20:56 GMT 2025","passed","Tue Apr 15 00:20:56 GMT 2025","com.dota2.api.heroes.GetHeroByIdTest","Surefire test","com.dota2.api.heroes.GetHeroByIdTest","testGetHeroByValidIdReturns200"
"This test verifies that the teams response matches the expected JSON schema","772","Verify that the team schema is valid","Surefire suite","Tue Apr 15 00:20:54 GMT 2025","passed","Tue Apr 15 00:20:54 GMT 2025","com.dota2.api.teams.GetTeamsTest","Surefire test","com.dota2.api.teams.GetTeamsTest","testTeamsSchemaIsValid"
"This test verifies that getting a player by a valid ID returns a 200 OK status code","236","Verify that getting a player by valid ID returns 200 OK","Surefire suite","Tue Apr 15 00:20:55 GMT 2025","passed","Tue Apr 15 00:20:55 GMT 2025","com.dota2.api.players.GetPlayerByIdTest","Surefire test","com.dota2.api.players.GetPlayerByIdTest","testGetPlayerByValidIdReturns200"
"Este teste simula múltiplos usuários acessando o endpoint Matches e avalia o desempenho","3","Executa o teste de performance para o endpoint Matches usando K6","Surefire suite","Tue Apr 15 00:20:57 GMT 2025","passed","Tue Apr 15 00:20:57 GMT 2025","com.dota2.performance.K6PerformanceTest","Surefire test","com.dota2.performance.K6PerformanceTest","testMatchesPerformance"
"This test verifies that getting matches for a team returns valid data","6020","Verify that getting team matches works","Surefire suite","Tue Apr 15 00:20:49 GMT 2025","passed","Tue Apr 15 00:20:55 GMT 2025","com.dota2.api.teams.GetTeamByIdTest","Surefire test","com.dota2.api.teams.GetTeamByIdTest","testGetTeamMatches"
"This test verifies that getting a match by a valid ID returns a 200 OK status code","261","Verify that getting a match by valid ID returns 200 OK","Surefire suite","Tue Apr 15 00:20:56 GMT 2025","passed","Tue Apr 15 00:20:56 GMT 2025","com.dota2.api.matches.GetMatchByIdTest","Surefire test","com.dota2.api.matches.GetMatchByIdTest","testGetMatchByValidIdReturns200"
"This test verifies that each team in the response contains required fields","1306","Verify that the teams data contains required fields","Surefire suite","Tue Apr 15 00:20:53 GMT 2025","passed","Tue Apr 15 00:20:54 GMT 2025","com.dota2.api.teams.GetTeamsTest","Surefire test","com.dota2.api.teams.GetTeamsTest","testTeamsContainRequiredFields"
"Este teste simula múltiplos usuários acessando o endpoint Heroes e avalia o desempenho","9","Executa o teste de performance para o endpoint Heroes usando K6","Surefire suite","Tue Apr 15 00:20:57 GMT 2025","passed","Tue Apr 15 00:20:57 GMT 2025","com.dota2.performance.K6PerformanceTest","Surefire test","com.dota2.performance.K6PerformanceTest","testHeroesPerformance"
"This test verifies that getting a team by a valid ID returns a 200 OK status code","234","Verify that getting a team by valid ID returns 200 OK","Surefire suite","Tue Apr 15 00:20:52 GMT 2025","passed","Tue Apr 15 00:20:53 GMT 2025","com.dota2.api.teams.GetTeamByIdTest","Surefire test","com.dota2.api.teams.GetTeamByIdTest","testGetTeamByValidIdReturns200"
"This test verifies that getting win/loss statistics for a player returns valid data","417","Verify that getting win/loss data for a player works","Surefire suite","Tue Apr 15 00:20:55 GMT 2025","passed","Tue Apr 15 00:20:56 GMT 2025","com.dota2.api.players.GetPlayerByIdTest","Surefire test","com.dota2.api.players.GetPlayerByIdTest","testGetPlayerWinLoss"
"This test verifies that the player data matches the expected schema","185","Verify that player schema is valid","Surefire suite","Tue Apr 15 00:20:55 GMT 2025","passed","Tue Apr 15 00:20:55 GMT 2025","com.dota2.api.players.GetPlayerByIdTest","Surefire test","com.dota2.api.players.GetPlayerByIdTest","testPlayerSchemaIsValid"
"This test verifies that getting recent matches for a player returns valid data","309","Verify that getting recent matches for a player works","Surefire suite","Tue Apr 15 00:20:55 GMT 2025","passed","Tue Apr 15 00:20:55 GMT 2025","com.dota2.api.players.GetPlayerByIdTest","Surefire test","com.dota2.api.players.GetPlayerByIdTest","testGetPlayerRecentMatches"
"Este teste simula múltiplos usuários acessando os endpoints Teams e Players e avalia o desempenho","2","Executa o teste de performance para os endpoints Teams e Players usando K6","Surefire suite","Tue Apr 15 00:20:57 GMT 2025","passed","Tue Apr 15 00:20:57 GMT 2025","com.dota2.performance.K6PerformanceTest","Surefire test","com.dota2.performance.K6PerformanceTest","testTeamsAndPlayersPerformance"
"This test verifies that getting a player by ID returns the correct player data","196","Verify that getting a player by valid ID returns the correct player data","Surefire suite","Tue Apr 15 00:20:54 GMT 2025","passed","Tue Apr 15 00:20:55 GMT 2025","com.dota2.api.players.GetPlayerByIdTest","Surefire test","com.dota2.api.players.GetPlayerByIdTest","testGetPlayerByIdReturnsCorrectData"
"This test verifies that finding a hero by ID returns the correct hero data","254","Verify that finding a hero by valid ID returns the correct hero data","Surefire suite","Tue Apr 15 00:20:56 GMT 2025","passed","Tue Apr 15 00:20:56 GMT 2025","com.dota2.api.heroes.GetHeroByIdTest","Surefire test","com.dota2.api.heroes.GetHeroByIdTest","testGetHeroByIdReturnsCorrectData"
"This test verifies that finding a hero by a valid ID works correctly","281","Verify that finding a hero by valid ID works","Surefire suite","Tue Apr 15 00:20:56 GMT 2025","passed","Tue Apr 15 00:20:56 GMT 2025","com.dota2.api.heroes.GetHeroByIdTest","Surefire test","com.dota2.api.heroes.GetHeroByIdTest","testGetHeroByValidIdReturns200"
"This test verifies that getting players for a team returns valid data","1119","Verify that getting team players works","Surefire suite","Tue Apr 15 00:20:51 GMT 2025","passed","Tue Apr 15 00:20:52 GMT 2025","com.dota2.api.teams.GetTeamByIdTest","Surefire test","com.dota2.api.teams.GetTeamByIdTest","testGetTeamPlayers"
"This test verifies that getting a team by an invalid ID returns an appropriate response","1810","Verify that getting a team by invalid ID returns not found","Surefire suite","Tue Apr 15 00:20:49 GMT 2025","passed","Tue Apr 15 00:20:51 GMT 2025","com.dota2.api.teams.GetTeamByIdTest","Surefire test","com.dota2.api.teams.GetTeamByIdTest","testGetTeamByInvalidId"
"This test verifies that the team data matches the expected schema","846","Verify that team schema is valid","Surefire suite","Tue Apr 15 00:20:52 GMT 2025","passed","Tue Apr 15 00:20:53 GMT 2025","com.dota2.api.teams.GetTeamByIdTest","Surefire test","com.dota2.api.teams.GetTeamByIdTest","testTeamSchemaIsValid"
"This test verifies that the heroes response matches the expected JSON schema","347","Verify that the heroes schema is valid","Surefire suite","Tue Apr 15 00:20:55 GMT 2025","passed","Tue Apr 15 00:20:56 GMT 2025","com.dota2.api.heroes.GetHeroesTest","Surefire test","com.dota2.api.heroes.GetHeroesTest","testHeroesSchemaIsValid"
"This test verifies that finding a hero by a valid ID works correctly","224","Verify that finding a hero by valid ID works","Surefire suite","Tue Apr 15 00:20:56 GMT 2025","passed","Tue Apr 15 00:20:57 GMT 2025","com.dota2.api.heroes.GetHeroByIdTest","Surefire test","com.dota2.api.heroes.GetHeroByIdTest","testGetHeroByValidIdReturns200"
"This test verifies that the GET /matches endpoint returns a 200 OK status code","261","Verify that the GET /matches endpoint returns 200 OK","Surefire suite","Tue Apr 15 00:20:56 GMT 2025","passed","Tue Apr 15 00:20:56 GMT 2025","com.dota2.api.matches.GetMatchesTest","Surefire test","com.dota2.api.matches.GetMatchesTest","testGetRecentMatchesReturns200"
"This test verifies that the GET /heroes endpoint returns a 200 OK status code","195","Verify that the GET /heroes endpoint returns 200 OK","Surefire suite","Tue Apr 15 00:20:55 GMT 2025","passed","Tue Apr 15 00:20:55 GMT 2025","com.dota2.api.heroes.GetHeroesTest","Surefire test","com.dota2.api.heroes.GetHeroesTest","testGetAllHeroesReturns200"
"This test verifies that the GET /teams endpoint returns a 200 OK status code","1120","Verify that the GET /teams endpoint returns 200 OK","Surefire suite","Tue Apr 15 00:20:53 GMT 2025","passed","Tue Apr 15 00:20:54 GMT 2025","com.dota2.api.teams.GetTeamsTest","Surefire test","com.dota2.api.teams.GetTeamsTest","testGetAllTeamsReturns200"
"This test verifies that each match in the response contains required fields","371","Verify that the matches data contains required fields","Surefire suite","Tue Apr 15 00:20:56 GMT 2025","passed","Tue Apr 15 00:20:57 GMT 2025","com.dota2.api.matches.GetMatchesTest","Surefire test","com.dota2.api.matches.GetMatchesTest","testMatchesContainRequiredFields"
"This test verifies client-side pagination with limit and offset parameters","338","Verify that we can process heroes with pagination","Surefire suite","Tue Apr 15 00:20:55 GMT 2025","passed","Tue Apr 15 00:20:56 GMT 2025","com.dota2.api.heroes.GetHeroesTest","Surefire test","com.dota2.api.heroes.GetHeroesTest","testHeroesPagination"
"This test verifies that teams can be retrieved and client-side pagination works","2222","Verify that teams with pagination works","Surefire suite","Tue Apr 15 00:20:53 GMT 2025","passed","Tue Apr 15 00:20:55 GMT 2025","com.dota2.api.teams.GetTeamsTest","Surefire test","com.dota2.api.teams.GetTeamsTest","testTeamsPagination"
"This test verifies that getting a match by ID returns the correct match data","341","Verify that getting a match by valid ID returns the correct match data","Surefire suite","Tue Apr 15 00:20:56 GMT 2025","passed","Tue Apr 15 00:20:56 GMT 2025","com.dota2.api.matches.GetMatchByIdTest","Surefire test","com.dota2.api.matches.GetMatchByIdTest","testGetMatchByIdReturnsCorrectData"
"This test verifies that getting a team by a valid ID returns a 200 OK status code","2909","Verify that getting a team by valid ID returns 200 OK","Surefire suite","Tue Apr 15 00:20:49 GMT 2025","passed","Tue Apr 15 00:20:52 GMT 2025","com.dota2.api.teams.GetTeamByIdTest","Surefire test","com.dota2.api.teams.GetTeamByIdTest","testGetTeamByValidIdReturns200"
